"profread","female","famrisk","center","noreadbo","minority","halfdayK","wksesl","p1ageent_66"
0,0,1,1,0,0,1,-1.15,5
0,0,0,1,0,0,1,-0.24,0
0,0,1,0,0,1,0,-1.41,-5
0,0,0,0,0,0,1,-0.24,-5
0,0,0,1,0,1,0,-0.29,-5
0,0,1,0,0,1,0,-1.34,-5
0,1,1,0,0,0,1,-0.31,0
0,0,1,1,1,0,1,-1,-8
0,0,0,1,1,1,1,-1.11,-7
0,1,0,0,0,1,1,-0.49,2
0,0,1,1,0,1,0,-0.85,-4
0,1,0,1,0,1,0,-0.63,-8
0,0,0,1,1,0,1,-0.35,3
0,1,0,0,1,1,0,-1.38,1
0,1,1,1,1,1,1,-0.33,-1
0,1,0,1,1,0,1,-0.68,13
0,1,1,1,0,1,0,-0.49,-3
0,0,1,1,1,1,0,-0.18,0
0,1,1,1,1,1,0,-3.53,0
0,1,1,1,1,1,0,-0.91,0
0,0,1,1,0,1,0,-1.97,2
0,0,1,1,1,1,0,-0.73,1
0,1,1,1,1,1,0,-0.51,-3
0,0,0,0,0,1,0,-0.67,1
0,1,0,1,0,0,0,0.15,-1
0,0,1,0,1,1,0,-0.79,9
0,0,1,0,1,0,0,-0.74,-3
0,0,0,1,0,0,1,0.46,5
0,0,1,0,0,0,1,-0.65,-4
0,0,1,0,1,0,0,-0.67,2
0,0,1,1,1,1,0,-0.54,0
0,0,1,1,0,1,0,-0.85,5
0,1,1,0,1,1,0,-0.9,-4
0,0,1,1,1,1,0,-0.52,11
0,0,0,0,0,1,0,-0.73,1
0,1,0,1,0,0,1,0.09,0
0,0,1,1,1,1,1,-0.21,3
0,0,0,0,0,0,1,0.06,5
0,0,1,1,0,1,0,-0.61,3
0,0,1,0,0,1,0,-0.75,-5
0,0,0,1,0,0,1,-0.5,6
0,0,0,1,0,0,1,-0.18,-3
0,1,0,1,1,0,1,-0.3,-1
0,0,0,1,1,0,1,-0.51,-2
0,0,1,1,1,1,1,-0.29,-5
0,0,1,1,0,1,1,-0.71,-5
0,0,1,1,0,1,1,-1.38,-1
0,0,1,0,1,1,1,-1.03,2
0,0,0,0,0,1,1,-0.72,-1
0,0,0,1,1,1,1,-0.65,0
0,0,1,0,1,1,1,-0.84,-6
0,0,1,1,0,1,1,-1.25,-6
0,0,1,0,0,1,0,-0.65,-5
0,1,0,1,0,0,0,-0.17,-1
0,0,0,1,1,1,0,0.56,2
0,0,1,1,0,0,0,0.39,1
0,1,1,1,0,1,0,-1.31,-8
0,0,1,1,0,1,0,-0.71,2
0,0,0,1,1,1,0,-0.68,0
0,0,1,1,0,1,0,-0.64,2
0,1,0,1,0,0,0,-0.12,5
0,0,0,1,0,0,0,0.02,-1
0,0,0,1,0,0,0,0.02,-5
0,0,1,1,0,0,0,-1.11,6
0,0,1,1,0,0,0,-1.22,-5
0,1,0,1,0,0,1,-1.06,2
0,1,1,1,0,0,1,1.94,0
0,0,0,0,0,0,1,-0.23,-2
0,0,0,1,0,0,1,0.07,8
0,1,1,0,1,0,1,-0.64,1
0,0,1,1,0,0,1,-0.66,1
0,0,0,1,0,0,1,-0.28,-2
0,0,0,0,0,1,1,-0.04,1
0,1,1,1,0,0,1,-0.67,-5
0,1,1,0,0,1,0,-0.22,0
0,1,0,1,0,0,1,1.24,4
0,0,0,1,0,0,1,0.03,4
0,0,0,1,0,0,1,0.81,-1
0,1,0,1,0,0,1,-0.28,0
0,0,0,1,0,0,1,1.39,-5
0,0,1,1,1,0,1,-0.04,0
0,0,1,1,0,0,1,0.45,5
0,1,0,1,0,0,1,0.5,-5
0,0,0,1,0,0,1,0.5,-5
0,0,0,1,1,0,0,-0.46,-4
0,0,1,1,0,1,0,-1.14,1
0,1,0,0,0,1,0,-0.03,-1
0,1,0,1,0,0,1,0.01,-2
0,0,0,0,0,0,1,-0.08,-2
0,0,0,0,0,1,0,0.75,-5
0,0,0,1,0,0,1,-0.41,-6
0,0,1,1,0,1,1,0.05,9
0,1,1,1,0,0,1,0.14,8
0,0,0,1,0,0,0,1.18,2
0,1,0,0,0,0,0,-0.03,-4
0,1,1,0,1,0,1,-1.15,-4
0,1,1,1,1,0,1,-0.51,-3
0,1,0,1,1,0,1,-0.53,-2
0,0,0,1,0,0,1,1.11,6
0,0,0,1,0,0,0,-0.35,-4
0,0,1,1,0,1,0,-1.51,3
0,1,1,0,0,0,0,-2.35,-2
0,0,1,1,0,1,0,-2.05,-4
0,1,1,1,0,1,0,0.48,3
0,0,1,1,1,1,0,-0.81,5
0,0,1,1,0,1,0,-0.94,4
0,0,1,1,1,1,0,-0.98,4
0,0,1,1,0,0,0,-0.51,-4
0,1,0,1,0,0,1,0.72,6
0,0,0,1,1,0,1,-0.17,-4
0,0,0,1,1,1,1,0.12,-3
0,0,1,1,0,0,1,-0.43,-4
0,0,1,1,0,1,1,-0.69,-6
0,1,0,1,0,1,0,-0.03,2
0,0,1,0,0,0,1,-0.05,-2
0,1,1,0,0,1,1,-0.98,3
0,1,1,1,0,1,1,0.04,-4
0,0,0,1,1,0,1,0.6,-6
0,1,0,0,0,0,0,-0.19,-3
0,0,1,1,0,0,0,1.14,0
0,0,1,0,0,0,1,-0.62,-7
0,0,0,1,1,1,1,-1,-7
0,0,0,0,0,1,1,0.45,8
0,0,1,1,0,1,0,-0.67,-7
0,0,1,1,0,1,0,-0.24,-8
0,1,0,1,1,0,1,0.98,-4
0,0,0,1,0,0,1,-0.49,2
0,0,0,1,0,0,1,-0.17,3
0,1,0,1,1,0,1,-0.64,-3
0,1,0,1,1,1,1,-0.45,-7
0,0,0,1,1,0,1,0.35,0
0,0,0,1,0,0,1,0.61,5
0,0,1,1,0,1,0,-0.64,-2
0,1,1,1,0,0,1,-0.7,7
0,1,1,1,0,1,0,-1.13,8
0,0,0,1,1,1,0,-0.3,5
0,1,1,1,0,1,0,-0.5,6
0,1,1,1,0,1,1,-0.72,4
0,1,0,0,0,1,1,-0.53,-5
0,1,0,1,0,1,0,-0.49,-5
0,1,1,1,0,1,0,-0.63,2
0,0,1,0,1,1,1,-4.18,0
0,1,0,1,0,0,1,0.16,4
0,0,0,1,0,0,0,1.21,0
0,0,1,1,1,1,0,-0.67,3
0,1,0,1,1,0,0,0.36,-2
0,1,1,1,0,1,0,-0.31,6
0,0,1,1,0,1,0,-0.69,6
0,1,1,1,1,1,0,-0.75,5
0,1,1,1,0,0,1,-0.1,-1
0,0,0,1,0,1,0,-0.42,-5
0,0,1,1,0,1,0,-0.26,0
0,0,1,1,1,1,0,-0.8,-3
0,1,1,1,1,1,0,-0.56,-5
0,1,0,0,0,1,0,-0.5,-3
0,1,1,1,0,1,0,0.38,0
0,1,1,1,0,1,0,-1.09,3
0,1,0,1,1,1,0,-0.65,-4
0,0,0,0,1,1,0,0.51,0
0,1,0,0,0,1,0,-0.39,3
0,0,0,1,0,0,0,-0.21,13
0,1,1,0,1,1,0,-0.36,-2
0,0,0,1,0,0,0,0.38,10
0,1,1,1,0,1,0,-0.69,10
0,1,1,1,0,1,0,-0.85,5
0,1,0,0,0,1,0,-0.96,2
0,0,1,1,1,1,0,-0.77,-2
0,0,1,1,0,1,0,-2.56,-5
0,0,1,1,1,1,0,-1.11,6
0,0,1,1,1,1,0,-0.51,-3
0,1,0,1,0,1,0,-0.19,-5
0,1,1,1,1,1,0,-0.49,1
0,0,0,1,1,1,0,-0.21,-4
0,0,0,1,0,1,0,0.17,-2
0,0,1,1,0,1,0,-0.35,-3
0,0,1,1,0,1,0,-0.16,6
0,0,1,1,0,1,0,-1.07,6
0,1,1,1,0,0,1,-0.35,-5
0,0,0,1,0,0,1,-0.06,8
0,1,0,1,0,0,1,0.35,7
0,0,1,1,1,1,1,-0.93,0
0,0,1,1,0,1,0,-0.26,-9
0,0,1,1,0,1,0,-0.61,-1
0,0,0,0,0,1,0,0.25,-7
0,1,1,1,0,1,0,-0.35,-3
0,0,0,1,0,1,0,0.07,-9
0,0,0,1,0,1,0,-0.39,-5
0,1,0,1,0,0,0,1.52,2
0,1,0,1,0,1,0,-0.51,-4
0,0,1,1,0,1,0,-0.33,-3
0,0,0,1,0,1,0,0.7,1
0,0,0,1,0,1,0,0.55,0
0,1,1,0,0,1,0,-0.69,2
0,0,1,1,0,1,0,0.1,-2
0,0,1,0,1,1,0,-0.51,1
0,0,1,1,0,1,0,-0.36,-7
0,1,0,1,0,0,0,1.15,-6
0,0,0,1,0,0,0,0.02,-3
0,1,1,1,0,1,0,-0.62,0
0,0,0,1,1,1,0,-0.78,-5
0,1,1,1,1,1,0,-0.85,-5
0,1,1,1,0,1,0,0.83,2
0,1,1,1,1,1,0,0.19,2
0,0,0,1,1,0,0,-0.02,-3
0,1,0,1,1,0,0,-0.44,3
0,1,1,1,1,1,0,-0.86,5
0,1,1,1,1,1,0,-0.45,-3
0,1,1,1,0,0,0,-0.43,-5
0,1,1,1,0,0,0,-0.17,-5
0,0,1,1,0,0,1,-0.81,5
0,0,0,1,0,0,1,0.17,-2
0,1,1,1,0,1,1,-0.26,-6
0,0,1,1,0,0,1,-1.08,5
0,1,0,1,0,0,0,-0.38,-3
0,1,1,0,0,0,0,0.16,-4
0,0,0,1,1,0,0,-0.77,-7
0,1,0,0,0,1,0,-0.63,4
0,0,1,0,0,0,0,-0.12,1
0,0,0,1,0,1,0,-0.62,2
0,0,1,1,0,1,0,0.07,1
0,0,1,1,0,1,0,-1.11,-1
0,0,0,1,0,0,0,-0.25,-2
0,0,0,1,0,1,0,0.9,-4
0,1,1,1,0,1,0,-0.87,2
0,1,1,0,1,0,0,-1.15,3
0,0,1,0,1,1,0,-0.08,-6
0,1,0,1,0,1,0,-0.2,-4
0,0,0,1,0,0,0,0.35,-6
0,1,1,1,0,1,0,-1,-4
0,1,1,1,0,1,0,-0.41,4
0,0,1,0,1,1,0,-0.76,-5
0,0,1,0,0,1,0,0.11,2
0,0,0,1,0,0,0,-0.31,4
0,1,1,1,0,1,0,-0.63,-8
0,0,1,1,1,1,0,-0.86,0
0,0,1,1,0,1,0,-0.03,-3
0,0,1,0,0,1,0,-0.59,-6
0,0,0,1,1,1,0,-0.68,-3
0,1,0,1,0,0,0,0.03,-3
0,1,1,1,1,1,0,-0.81,1
0,0,0,1,0,1,1,-0.58,0
0,0,1,0,1,1,1,-0.76,-5
0,0,0,0,0,1,1,0.69,-2
0,0,0,1,0,0,1,-0.35,-3
0,0,1,1,1,1,1,-0.52,4
0,1,1,1,1,1,1,-0.65,6
0,1,1,0,0,1,1,-0.02,-5
0,1,1,0,0,1,1,-0.5,2
0,1,1,1,0,1,1,-0.76,-1
0,1,1,0,0,0,0,-0.24,-1
0,0,0,1,1,1,0,0.15,5
0,0,0,1,0,0,1,1.51,-1
0,1,0,1,1,0,1,-0.64,-5
0,0,0,0,0,0,1,-0.08,0
0,1,1,1,0,0,1,-0.71,6
0,0,0,1,0,0,1,-0.3,-1
0,1,1,0,0,0,1,-0.55,-5
0,0,0,0,0,0,1,-0.44,4
0,0,0,1,0,0,1,-0.27,7
0,1,0,1,0,0,0,0.37,1
0,0,0,1,0,0,0,-0.03,-3
0,0,1,0,1,1,0,-0.49,4
0,1,0,1,0,1,0,-0.9,-3
0,0,1,1,0,1,0,-0.15,3
0,1,1,1,0,1,0,-0.15,3
0,0,1,0,1,1,0,-0.59,2
0,0,1,1,0,1,1,0.67,1
0,0,1,0,0,1,1,0.04,4
0,1,0,0,0,0,1,0,-4
0,1,0,1,0,1,1,-0.32,-4
0,0,0,1,0,1,1,0.4,-8
0,0,1,1,0,1,1,-1.24,-8
0,0,0,0,1,1,1,0.4,1
0,0,1,1,0,1,1,-0.67,-6
0,1,1,0,0,1,1,0.22,-6
0,0,1,0,1,1,1,-0.42,-4
0,0,1,1,1,1,1,-1.1,-4
0,1,0,0,0,1,1,-0.44,-7
0,0,1,0,0,1,1,-0.63,-1
0,0,1,1,0,1,1,-1.16,1
0,1,1,1,1,1,1,-0.73,-2
0,0,1,0,0,1,1,-0.48,2
0,0,1,1,1,1,1,0.15,-7
0,0,1,1,0,1,1,0.14,-7
0,0,0,0,0,1,1,-0.12,2
0,0,1,0,0,1,1,-0.45,-4
0,1,0,0,0,1,0,-0.21,1
0,0,0,1,0,1,0,-0.22,-1
0,0,1,1,1,1,1,-0.16,-3
0,1,0,0,0,1,0,-0.22,-6
0,0,1,0,0,1,0,-0.51,1
0,0,0,0,0,1,0,-0.5,-9
0,0,1,1,1,1,0,-0.67,-8
0,1,1,1,0,0,0,-0.2,-7
0,1,1,1,0,0,0,-0.51,2
0,0,1,0,1,1,0,-0.66,-5
0,0,1,0,0,1,0,-0.38,-6
0,0,0,1,1,1,0,-0.63,2
0,0,0,1,0,1,0,0.18,1
0,1,0,1,0,0,0,-0.48,0
0,0,0,1,0,0,0,0.03,7
0,0,0,1,0,0,1,0.56,2
0,0,0,1,1,1,0,0.17,0
0,1,1,1,0,0,0,-0.29,-8
0,1,0,0,0,1,0,0.14,-4
0,1,1,1,0,1,0,-0.62,-5
0,0,1,1,0,1,0,0.61,0
0,1,0,1,0,0,0,0.09,0
0,0,1,1,0,1,0,-0.57,-3
0,0,0,1,0,0,0,1.1,-6
0,0,1,0,0,1,0,-0.47,0
0,1,1,0,1,1,0,-0.28,-6
0,0,1,0,1,1,0,-1.21,-4
0,0,0,1,0,1,0,0.6,6
0,0,0,1,0,0,0,0.51,4
0,1,0,0,0,0,0,-0.4,-2
0,1,1,1,1,0,0,-0.9,-2
0,0,1,0,0,0,0,-0.86,-5
0,0,0,0,1,0,0,-0.09,6
0,1,1,1,1,1,0,-0.43,0
0,1,0,0,0,0,0,-0.04,-3
0,1,0,1,1,1,0,-0.38,2
0,0,1,1,0,0,0,-0.55,-1
0,1,0,0,0,0,0,0.09,-2
0,1,0,1,0,0,1,0.28,-3
0,1,1,1,1,0,1,-0.41,-2
0,1,1,0,0,0,1,-0.32,-2
0,1,0,1,1,0,1,-0.19,-6
0,0,0,1,1,1,1,-0.68,-2
0,0,0,0,0,0,1,-0.3,-1
0,1,1,1,0,1,1,-0.78,-6
0,1,1,1,0,0,1,0.43,2
0,0,1,1,1,0,1,-0.69,3
0,0,1,1,0,1,1,-0.21,3
0,0,0,1,0,0,1,0.66,-5
0,0,0,0,1,0,1,-0.26,-3
0,0,0,0,0,0,1,-0.06,-5
0,1,1,1,0,1,1,-1.07,-5
0,0,0,1,0,0,1,-0.49,6
0,0,1,1,0,1,1,1.6,-9
0,0,0,1,0,0,1,0.63,-5
0,0,1,1,0,1,0,-0.39,-2
0,0,0,0,0,0,0,-0.41,-5
